artist,album,genre,firstRelease,format,fullDate,mainLanguage,cityUa,cityEn,label,sex,artistLink,albumLink
Ygg,The Last Scald,metal,no,lp,04.02.2021,ua,Харків,Kharkiv,Ashen Dominion,M,https://www.facebook.com/YGGofficial,https://ashen-dominion.bandcamp.com/album/ygg-the-last-scald
Your Inner God,Monochromic,rock,no,lp,12.04.2021,en,Харків,Kharkiv,On-air Studio,M,https://www.instagram.com/your_inner_god/,https://music.youtube.com/playlist?list=OLAK5uy_lwTWHpkt8-0YLzN7sW4yAim9nEdqT36a4
Your Old Droog,Dump YOD (Krutoy Edition),hip-hop / rap,no,lp,04.12.2021,en,New York,New York,Mongoloid Banks,M,https://www.facebook.com/Yourolddroog/,https://music.youtube.com/playlist?list=OLAK5uy_nDkRt6cSjCGtTuTEegE-0lNo4LiE6GpuY
Yrstruly,II,indie,no,lp,31.01.2021,en,"Mâcon, France","Mâcon, France",I'm Starving Records,M,https://www.instagram.com/yyrstrulyy/,https://phooey.bandcamp.com/album/ii-2
Yrstruly,III,indie,no,lp,04.03.2021,en,"Mâcon, France","Mâcon, France",I'm Starving Records,M,https://www.instagram.com/yyrstrulyy/,https://phooey.bandcamp.com/album/iii-3
Zagreb ,Ощущение Вечной Молодости,indie,no,lp,20.02.2021,ru,Дніпро,Dnipro,self-made,M,https://www.instagram.com/zagreb.band/,https://music.youtube.com/playlist?list=OLAK5uy_lDmGxJHKanLIkprY5gLeWpiYlZ_GlDVbo
ZAVOLOKA,Ornament,techno,no,lp,14.10.2021,-,Київ,Kyiv,self-made,F,https://www.facebook.com/Zavoloka.Official/,https://music.youtube.com/playlist?list=OLAK5uy_lMr9B-D38dNmaHBKWj577dhmQDp-T_07g
ZEFEAR,I Found Myself,pop,no,ep,01.06.2021,en,Кропивницький,Kropyvnytskyi,Antracto Music,F,https://www.instagram.com/zefear_official/,https://music.youtube.com/playlist?list=OLAK5uy_lhTdE_MmufxFMUTRSOjuMtgJ_VVbKg6Yg
Zhenya Geniy,Ultrafuture,pop,yes,ep,24.09.2021,ru,Київ,Kyiv,self-made,M,https://www.instagram.com/ya.geniy/,https://music.youtube.com/playlist?list=OLAK5uy_lTjG5CFYex9zXHHEeyp5egwsw0lkNNkSw
Zinaida Opomnis!,Abracadavra,experimental,no,lp,15.01.2021,-,-,-,Perfsect,Mix,https://t.me/zinaidaopomnis,https://perfsect.bandcamp.com/album/abracadavra
zolaa.,"I hate these tracks, they're awesome",electronic,no,ep,01.05.2021,-,Київ,Kyiv,self-made,M,https://www.facebook.com/iamzolaa/,https://zolaa.bandcamp.com/album/i-hate-these-tracks-theyre-awesome
zolaa.,ZERO MARKET EP,electronic,no,ep,30.04.2021,-,Київ,Kyiv,EYA Records,M,https://www.facebook.com/iamzolaa/,https://soundcloud.com/eyarecords/sets/eya-009-zolaa-zero-market-ep
Zoltan Almashi,Way and Illusions,worldwide,no,lp,12.03.2021,-,Київ,Kyiv,Golka records,M,https://www.instagram.com/almashizoltan/,https://music.youtube.com/playlist?list=OLAK5uy_kxuq-FnDizBXhs8bZKJWVKPfulCcFu-qw
Zymosis,Timeless,electronic,no,lp,20.04.2021,-,Київ,Kyiv,Sentimony Records,M,https://www.facebook.com/Zymosis.project/,https://music.youtube.com/playlist?list=OLAK5uy_mIjP7xGYEQ6TEz5VkfxHd21S2NkzaOtes
ΛEV,Хто ми є,pop,yes,lp,30.10.2021,ua,Київ,Kyiv,Best Music,M,https://www.instagram.com/levremenev/,https://music.youtube.com/playlist?list=OLAK5uy_mdo5-xeXv199IStdKd6a3lqzkyicykP7c
